Client User Name,Client Host,Client Host Groups,Server Host,Server Host Groups,Duration,Application,Service Summary,Total Traffic (bps),Total Bytes,Total Packets,Start Active Time,Client Bytes,Client Ratio (%),Server Bytes,First Client Port Seen,Server Port
,10.1.9.124,"PA-HERSHEY-DTACTR, Systems Management",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 16 minutes,Undefined TCP,Undefined TCP (5647/tcp),714.1422594142259,21335,304,"Dec 17, 2017 12:53:11 AM",10280,48.1837,11055,51806,5647
,10.1.69.170,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 22 minutes,Undefined TCP,Undefined TCP (5647/tcp),714.0083682008368,21331,302,"Dec 17, 2017 12:47:59 AM",10046,47.0958,11285,24411,5647
,10.1.69.127,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 18 minutes,Undefined TCP,Undefined TCP (5647/tcp),713.9748953974895,21330,302,"Dec 17, 2017 12:51:56 AM",10023,46.9902,11307,51064,5647
,10.1.68.142,PA-HERSHEY-DTACTR,10.1.64.10,"Domain Controllers, DNS Servers, PA-HERSHEY-DTACTR",52 days 15 hours 19 minutes,DNS (unclassified),dns (53/udp),713.8410041841004,21326,250,"Dec 17, 2017 12:50:02 AM",8592,40.2888,12734,47116,53
,10.25.115.99,"Firewalls, MULT, IL Fortigate Firewalls, E ST LOUIS",10.25.145.9,"WTP, Firewalls, WTRTRTPLT, IL Fortigate Firewalls",427 days 9 hours 32 minutes,Undefined UDP,isakmp (500/udp),713.673640167364,21321,177,"Dec 7, 2016 6:37:31 AM",10617,49.796,10704,500,500
,10.1.69.136,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",56 days 23 hours 50 minutes,Undefined TCP,Undefined TCP (5647/tcp),713.6401673640167,21320,302,"Dec 12, 2017 4:19:33 PM",9814,46.0319,11506,40768,5647
,10.1.68.142,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 19 minutes,Undefined TCP,Undefined TCP (5647/tcp),713.4058577405858,21313,302,"Dec 17, 2017 12:50:05 AM",9879,46.352,11434,63866,5647
,10.1.69.142,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 14 hours 46 minutes,Undefined TCP,Undefined TCP (5647/tcp),716.2689075630252,21309,301,"Dec 17, 2017 1:23:53 AM",9812,46.0463,11497,40168,5647
,10.1.70.170,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",231 days 11 hours 59 minutes,Undefined TCP,Undefined TCP (5647/tcp),713.1380753138076,21305,303,"Jun 21, 2017 5:10:19 AM",10250,48.1108,11055,31378,5647
,10.6.71.35,"PA-HERSHEY-NONPROD, DB Servers",10.1.9.124,"PA-HERSHEY-DTACTR, Systems Management",171 days 11 hours 27 minutes,Syslog (unclassified),syslog (514/udp),712.3012552301255,21280,49,"Aug 20, 2017 5:42:12 AM",21280,100,0,46967,514
,10.1.69.109,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 12 hours 58 minutes,Undefined TCP,Undefined TCP (5647/tcp),712.2343096234309,21278,301,"Oct 22, 2017 4:11:06 AM",9946,46.7431,11332,41199,5647
,10.1.69.123,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 22 minutes,Undefined TCP,Undefined TCP (5647/tcp),712.0,21271,303,"Dec 17, 2017 12:47:59 AM",10152,47.727,11119,36060,5647
,10.1.68.147,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",390 days 3 hours 6 minutes,Undefined TCP,Undefined TCP (5647/tcp),711.9665271966527,21270,301,"Jan 13, 2017 1:03:47 PM",9905,46.5679,11365,20397,5647
,10.1.69.158,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",171 days 14 hours 52 minutes,Undefined TCP,Undefined TCP (5647/tcp),711.9665271966527,21270,302,"Aug 20, 2017 2:17:11 AM",10040,47.2026,11230,55209,5647
,10.1.69.127,PA-HERSHEY-DTACTR,10.1.64.10,"Domain Controllers, DNS Servers, PA-HERSHEY-DTACTR",52 days 15 hours 18 minutes,DNS (unclassified),dns (53/udp),711.8661087866109,21267,247,"Dec 17, 2017 12:51:54 AM",8589,40.3865,12678,34500,53
,10.1.69.110,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 22 minutes,Undefined TCP,Undefined TCP (5647/tcp),711.7991631799163,21265,301,"Dec 17, 2017 12:47:58 AM",9998,47.0162,11267,40087,5647
,10.1.69.151,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 16 hours 15 minutes,Undefined TCP,Undefined TCP (5647/tcp),711.6652719665271,21261,302,"Oct 22, 2017 12:54:17 AM",10332,48.596,10929,44958,5647
,10.2.73.105,"Mail Servers, NJ-HADDON-DTACTR",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 13 minutes,Undefined TCP,Undefined TCP (5647/tcp),711.6652719665271,21261,324,"Oct 22, 2017 3:56:34 AM",9317,43.822,11944,49974,5647
,10.1.72.16,"PA-HERSHEY-DTACTR, VoIP System",10.2.72.15,"VoIP System, NJ-HADDON-DTACTR",273 days 13 hours 14 minutes,Undefined TCP,Undefined TCP (2000/tcp),711.63179916318,21260,266,"May 10, 2017 3:55:47 AM",9548,44.9106,11712,45440,2000
,10.1.70.179,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",127 days 6 hours 47 minutes,Undefined TCP,Undefined TCP (5647/tcp),711.3640167364017,21252,302,"Oct 3, 2017 10:22:17 AM",9944,46.7909,11308,58767,5647
,10.1.70.183,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 6 minutes,Undefined TCP,Undefined TCP (5647/tcp),711.1297071129707,21245,302,"Oct 22, 2017 4:03:16 AM",9994,47.0417,11251,39419,5647
,10.1.69.191,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",206 days 18 hours,Undefined TCP,Undefined TCP (5647/tcp),710.928870292887,21239,301,"Jul 15, 2017 11:09:14 PM",9953,46.8619,11286,43099,5647
,10.25.125.99,"Firewalls, PROSPECT, OFFICE, IL Fortigate Firewalls",10.1.74.46,"Firewalls, Security, PA-HERSHEY-DTACTR",427 days 11 hours 57 minutes,Undefined UDP,isakmp (500/udp),710.7280334728033,21233,176,"Dec 7, 2016 4:12:07 AM",10347,48.7307,10886,500,500
,10.1.69.143,PA-HERSHEY-DTACTR,10.1.64.10,"Domain Controllers, DNS Servers, PA-HERSHEY-DTACTR",108 days 16 hours 16 minutes,DNS (unclassified),dns (53/udp),729.0300429184549,21233,262,"Oct 22, 2017 12:52:58 AM",8723,41.0823,12510,35830,53
,10.25.120.99,"Firewalls, OFFICE, IL Fortigate Firewalls",10.25.115.99,"Firewalls, MULT, IL Fortigate Firewalls, E ST LOUIS",427 days 7 hours 29 minutes,Undefined UDP,isakmp (500/udp),710.5941422594142,21229,177,"Dec 7, 2016 8:40:43 AM",10680,50.3085,10549,500,500
,10.1.69.184,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 16 hours 11 minutes,Undefined TCP,Undefined TCP (5647/tcp),709.9246861924686,21209,301,"Oct 22, 2017 12:58:36 AM",9873,46.551,11336,45299,5647
,10.1.69.46,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 12 minutes,Undefined TCP,Undefined TCP (5647/tcp),709.8242677824268,21206,300,"Oct 22, 2017 3:57:16 AM",9884,46.6095,11322,34472,5647
,10.1.66.113,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 19 minutes,Undefined TCP,Undefined TCP (5647/tcp),709.4560669456067,21195,301,"Oct 22, 2017 3:50:57 AM",9803,46.2515,11392,56052,5647
,10.1.68.149,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 20 minutes,Undefined TCP,Undefined TCP (5647/tcp),709.3556485355649,21192,302,"Dec 17, 2017 12:49:52 AM",10090,47.6123,11102,59394,5647
,10.1.69.164,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",171 days 14 hours 52 minutes,Undefined TCP,Undefined TCP (5647/tcp),708.9205020920502,21179,300,"Aug 20, 2017 2:17:07 AM",9805,46.2959,11374,29365,5647
,10.1.74.46,"Firewalls, Security, PA-HERSHEY-DTACTR",10.38.128.196,"PUMP, PUMPST",221 days 15 hours 35 minutes,Undefined UDP,isakmp (500/udp),720.9191489361702,21177,176,"Jul 1, 2017 1:34:09 AM",10857,51.2679,10320,500,500
PAS-LS-ACA9.amwater.net,10.1.99.26,PA-HERSHEY-DTACTR,10.1.68.16,PA-HERSHEY-DTACTR,96 days 18 hours,Undefined TCP,Undefined TCP (1947/tcp),727.0729613733905,21176,77,"Nov 2, 2017 11:09:38 PM",7959,37.585,13217,59088,1947
,10.1.64.49,PA-HERSHEY-DTACTR,10.1.64.91,"PA-HERSHEY-DTACTR, File Servers",116 days 20 hours 54 minutes,SMB (unclassified),smb (445/tcp),732.9177489177489,21163,100,"Oct 13, 2017 8:15:27 PM",14946,70.6233,6217,58866,445
,10.1.70.168,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",134 days 46 minutes,Undefined TCP,Undefined TCP (5647/tcp),708.1506276150627,21156,300,"Sep 26, 2017 4:23:54 PM",9718,45.935,11438,46199,5647
,10.1.70.240,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",91 days 4 hours 33 minutes,Undefined TCP,Undefined TCP (5647/tcp),707.81589958159,21146,300,"Nov 8, 2017 11:36:46 AM",9720,45.9661,11426,42814,5647
,10.1.74.46,"Firewalls, Security, PA-HERSHEY-DTACTR",10.38.46.10,"WTRTRTPLT, Firewalls, PA Fortigate Firewalls",427 days 11 hours 51 minutes,Undefined UDP,isakmp (500/udp),707.6150627615062,21140,177,"Dec 7, 2016 4:18:21 AM",10872,51.4286,10268,500,500
,10.1.69.116,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 22 minutes,Undefined TCP,Undefined TCP (5647/tcp),707.6150627615062,21140,300,"Dec 17, 2017 12:47:56 AM",9766,46.1968,11374,59333,5647
,10.1.69.124,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 22 minutes,Undefined TCP,Undefined TCP (5647/tcp),707.4476987447699,21135,299,"Dec 17, 2017 12:47:54 AM",9890,46.7944,11245,49199,5647
,10.1.69.190,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 4 minutes,Undefined TCP,Undefined TCP (5647/tcp),707.1799163179917,21127,299,"Oct 22, 2017 4:05:00 AM",10057,47.6026,11070,33639,5647
,10.1.69.138,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 11 hours 38 minutes,Undefined TCP,Undefined TCP (5647/tcp),707.1799163179917,21127,299,"Oct 22, 2017 5:31:59 AM",9971,47.1955,11156,43388,5647
,10.6.70.134,"PA-HERSHEY-NONPROD, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",345 days 4 hours 45 minutes,Undefined TCP,Undefined TCP (5647/tcp),707.0460251046026,21123,300,"Feb 27, 2017 11:24:23 AM",10280,48.6673,10843,38361,5647
,10.1.70.181,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 12 hours 56 minutes,Undefined TCP,Undefined TCP (5647/tcp),707.0125523012553,21122,299,"Oct 22, 2017 4:13:31 AM",9838,46.577,11284,35238,5647
,10.1.70.113,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 12 hours 56 minutes,Undefined TCP,Undefined TCP (5647/tcp),706.4435146443515,21105,300,"Oct 22, 2017 4:13:18 AM",9911,46.9604,11194,15700,5647
,10.1.69.138,PA-HERSHEY-DTACTR,10.1.64.14,PA-HERSHEY-DTACTR,108 days 11 hours 37 minutes,SMB (unclassified),smb (445/tcp),743.4713656387665,21096,174,"Oct 22, 2017 5:31:57 AM",10552,50.019,10544,59980,445
,10.6.68.230,PA-HERSHEY-NONPROD,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",124 days 17 hours 19 minutes,Undefined TCP,Undefined TCP (5647/tcp),705.2050209205021,21068,300,"Oct 5, 2017 11:50:45 PM",10306,48.9178,10762,40399,5647
,10.1.70.166,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 3 minutes,Undefined TCP,Undefined TCP (5647/tcp),705.1715481171548,21067,299,"Oct 22, 2017 4:06:54 AM",9868,46.841,11199,41799,5647
,10.1.70.37,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",290 days 12 hours 2 minutes,Undefined TCP,Undefined TCP (5647/tcp),708.0336134453781,21064,298,"Apr 23, 2017 5:07:17 AM",9716,46.1261,11348,45299,5647
,10.1.69.131,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 3 minutes,Undefined TCP,Undefined TCP (5647/tcp),704.36820083682,21043,300,"Oct 22, 2017 4:06:55 AM",9812,46.6283,11231,46976,5647
,10.1.71.60,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 1 minute,Undefined TCP,Undefined TCP (5647/tcp),704.0334728033473,21033,298,"Oct 22, 2017 4:08:43 AM",9995,47.5206,11038,40899,5647
,10.1.69.186,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 12 minutes,Undefined TCP,Undefined TCP (5647/tcp),703.6652719665271,21022,299,"Oct 22, 2017 3:57:40 AM",10094,48.0164,10928,40776,5647
,10.1.70.182,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 12 minutes,Undefined TCP,Undefined TCP (5647/tcp),703.5983263598326,21020,298,"Oct 22, 2017 3:57:35 AM",9928,47.2312,11092,42532,5647
,10.1.69.102,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",109 days 12 hours 36 minutes,Undefined TCP,Undefined TCP (5647/tcp),703.4309623430962,21015,298,"Oct 21, 2017 4:33:37 AM",9863,46.9331,11152,48718,5647
,10.1.70.198,"PA-HERSHEY-DTACTR, DB Servers",10.1.68.110,PA-HERSHEY-DTACTR,114 days 3 hours 13 minutes,Undefined TCP,Undefined TCP (50000/tcp),866.1855670103092,21005,47,"Oct 16, 2017 1:56:10 PM",17998,85.6844,3007,50629,50000
,10.1.73.78,"PA-HERSHEY-DTACTR, Mail Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 16 hours 16 minutes,Undefined TCP,Undefined TCP (5647/tcp),702.9958158995815,21002,298,"Oct 22, 2017 12:53:18 AM",9934,47.3003,11068,55022,5647
,10.1.69.91,PA-HERSHEY-DTACTR,10.1.64.14,PA-HERSHEY-DTACTR,152 days 11 hours 56 minutes,Undefined TCP,nfs (2049/tcp),800.0,21000,120,"Sep 8, 2017 5:13:12 AM",10920,52,10080,785,2049
,10.1.69.137,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 16 hours 18 minutes,Undefined TCP,Undefined TCP (5647/tcp),702.8953974895397,20999,298,"Oct 22, 2017 12:51:04 AM",9803,46.6832,11196,17274,5647
,10.1.73.75,"PA-HERSHEY-DTACTR, Mail Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",171 days 9 hours 16 minutes,Undefined TCP,Undefined TCP (5647/tcp),702.6276150627615,20991,299,"Aug 20, 2017 7:53:59 AM",9817,46.7677,11174,59002,5647
,10.1.68.179,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 3 minutes,Undefined TCP,Undefined TCP (5647/tcp),702.4267782426779,20985,297,"Oct 22, 2017 4:06:54 AM",9712,46.2807,11273,59981,5647
,10.38.56.51,"KY Fortigate Firewalls, Firewalls, WTRTRTPLT, STATION",10.1.74.22,"LogLogic, Security, PA-HERSHEY-DTACTR",89 days 3 hours 21 minutes,Syslog (unclassified),syslog (514/udp),702.2594142259414,20980,42,"Nov 10, 2017 12:48:02 PM",20980,100,0,1039,514
,10.1.69.182,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 8 minutes,Undefined TCP,Undefined TCP (5647/tcp),705.0756302521008,20976,297,"Oct 22, 2017 4:01:35 AM",9991,47.6306,10985,39901,5647
,10.252.30.5,CA - Sacramento NAT,10.253.32.111,CA Cellular Modems,152 days 8 hours 12 minutes,Undefined TCP,Undefined TCP (44818/tcp),701.6234309623431,20961,122,"Sep 8, 2017 8:57:26 AM",6188,29.5215,14773,49794,44818
,10.1.68.133,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 12 hours 58 minutes,Undefined TCP,Undefined TCP (5647/tcp),701.5564853556485,20959,297,"Oct 22, 2017 4:11:06 AM",9659,46.0852,11300,18970,5647
,10.1.70.177,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 12 hours 46 minutes,Undefined TCP,Undefined TCP (5647/tcp),704.1008403361344,20947,296,"Oct 22, 2017 4:23:00 AM",9849,47.0187,11098,16096,5647
,10.1.68.177,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 16 minutes,Undefined TCP,Undefined TCP (5647/tcp),701.0878661087866,20945,297,"Oct 22, 2017 3:53:06 AM",9888,47.2094,11057,41376,5647
,10.1.69.91,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 12 hours 58 minutes,Undefined TCP,Undefined TCP (5647/tcp),700.418410041841,20925,298,"Oct 22, 2017 4:11:06 AM",10100,48.2676,10825,20196,5647
,10.1.69.187,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 16 hours 10 minutes,Undefined TCP,Undefined TCP (5647/tcp),700.3849372384938,20924,297,"Oct 22, 2017 12:59:19 AM",9973,47.663,10951,44860,5647
,10.1.69.168,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 12 hours 56 minutes,Undefined TCP,Undefined TCP (5647/tcp),700.3849372384938,20924,296,"Oct 22, 2017 4:13:03 AM",9851,47.0799,11073,50022,5647
,10.6.69.209,PA-HERSHEY-NONPROD,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",232 days 3 hours 40 minutes,Undefined TCP,Undefined TCP (5647/tcp),700.3179916317991,20922,297,"Jun 20, 2017 1:29:25 PM",10252,49.0011,10670,59664,5647
,10.1.69.188,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",127 days 6 hours 13 minutes,Undefined TCP,Undefined TCP (5647/tcp),700.2845188284518,20921,297,"Oct 3, 2017 10:56:22 AM",9810,46.8907,11111,39399,5647
,10.1.73.105,"PA-HERSHEY-DTACTR, Mail Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",290 days 12 hours 10 minutes,Undefined TCP,Undefined TCP (5647/tcp),700.0167364016736,20913,297,"Apr 23, 2017 4:59:49 AM",9870,47.1955,11043,14430,5647
,10.25.139.99,"PLANT, Firewalls, WTRTRTPLT, IL Fortigate Firewalls",10.1.74.22,"LogLogic, Security, PA-HERSHEY-DTACTR",115 days 22 hours 17 minutes,Syslog (unclassified),syslog (514/udp),699.5481171548117,20899,42,"Oct 14, 2017 6:52:58 PM",20899,100,0,1024,514
,10.2.70.100,"DB Servers, NJ-HADDON-DTACTR",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 5 minutes,Undefined TCP,Undefined TCP (5647/tcp),699.3138075313808,20892,318,"Oct 22, 2017 4:04:30 AM",8976,42.9638,11916,52604,5647
,10.1.68.143,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 3 minutes,Undefined TCP,Undefined TCP (5647/tcp),699.0460251046026,20884,296,"Oct 22, 2017 4:06:54 AM",10003,47.8979,10881,11271,5647
,10.1.80.42,"PA-HERSHEY-DTACTR, PIN-DMZ",10.38.244.5,Catch All,93 days 9 hours 14 minutes,Undefined TCP,http-alt (8080/tcp),713.8461538461538,20880,120,"Nov 6, 2017 6:55:29 AM",4128,19.7701,16752,62502,8080
,10.2.73.75,"Mail Servers, NJ-HADDON-DTACTR",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",171 days 9 hours 26 minutes,Undefined TCP,Undefined TCP (5647/tcp),698.2426778242677,20860,318,"Aug 20, 2017 7:43:45 AM",9109,43.6673,11751,43866,5647
,10.2.73.87,"Mail Servers, NJ-HADDON-DTACTR",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",290 days 12 hours 7 minutes,Undefined TCP,Undefined TCP (5647/tcp),697.7071129707113,20844,316,"Apr 23, 2017 5:02:17 AM",9047,43.4034,11797,38768,5647
,10.2.73.90,"Mail Servers, NJ-HADDON-DTACTR",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 16 minutes,Undefined TCP,Undefined TCP (5647/tcp),697.1380753138076,20827,317,"Oct 22, 2017 3:53:06 AM",9268,44.4999,11559,10042,5647
,10.1.74.46,"Firewalls, Security, PA-HERSHEY-DTACTR",10.25.159.131,"PUMP, IN Fortigate Firewalls, Firewalls",427 days 11 hours 56 minutes,Undefined UDP,isakmp (500/udp),696.3347280334729,20803,173,"Dec 7, 2016 4:13:38 AM",10324,49.6275,10479,500,500
,10.1.70.180,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",290 days 12 hours 15 minutes,Undefined TCP,Undefined TCP (5647/tcp),696.3347280334729,20803,295,"Apr 23, 2017 4:54:23 AM",9802,47.1182,11001,33639,5647
,10.1.100.133,PA-HERSHEY-DTACTR,10.1.70.189,"PA-HERSHEY-DTACTR, DB Servers",52 days 15 hours 24 minutes,Undefined TCP,Undefined TCP (8100/tcp),702.1772151898734,20802,90,"Dec 17, 2017 12:45:39 AM",2672,12.8449,18130,24366,8100
,10.1.70.127,"PA-HERSHEY-DTACTR, DB Servers",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 13 hours 5 minutes,Undefined TCP,Undefined TCP (5647/tcp),695.8995815899582,20790,295,"Oct 22, 2017 4:04:30 AM",9624,46.2915,11166,46399,5647
,10.1.69.183,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",109 days 12 hours 44 minutes,Undefined TCP,Undefined TCP (5647/tcp),695.7322175732218,20785,295,"Oct 21, 2017 4:25:18 AM",9718,46.7549,11067,39900,5647
,10.252.31.5,CA - PG Office NAT,10.253.32.23,CA Cellular Modems,53 days 17 hours 58 minutes,Undefined TCP,Undefined TCP (44818/tcp),701.367088607595,20778,237,"Dec 15, 2017 10:11:20 PM",10155,48.8738,10623,49418,44818
,10.1.74.98,"Security, PA-HERSHEY-DTACTR",10.238.54.13,"WTRTRTPLT, Security",68 days 4 hours 53 minutes,Undefined TCP,Undefined TCP (22609/tcp),702.7796610169491,20732,143,"Dec 1, 2017 11:15:58 AM",3614,17.432,17118,62705,22609
,10.1.69.143,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",108 days 16 hours 16 minutes,Undefined TCP,Undefined TCP (5647/tcp),693.7573221757323,20726,294,"Oct 22, 2017 12:53:00 AM",9766,47.1196,10960,41214,5647
,10.1.69.113,PA-HERSHEY-DTACTR,10.1.64.10,"Domain Controllers, DNS Servers, PA-HERSHEY-DTACTR",52 days 15 hours 22 minutes,DNS (unclassified),dns (53/udp),699.5443037974684,20724,242,"Dec 17, 2017 12:47:55 AM",8353,40.3059,12371,45651,53
,10.1.69.111,PA-HERSHEY-DTACTR,10.1.64.10,"Domain Controllers, DNS Servers, PA-HERSHEY-DTACTR",52 days 15 hours 22 minutes,DNS (unclassified),dns (53/udp),702.4745762711865,20723,241,"Dec 17, 2017 12:47:53 AM",8223,39.6805,12500,53962,53
,10.38.136.250,"NEWCASTLEOFC, Firewalls, PA Fortigate Firewalls, OFFICE",10.38.111.250,"WTRTRTPLT, OFC, Firewalls, PA Fortigate Firewalls",427 days 7 hours 48 minutes,Undefined UDP,isakmp (500/udp),692.2845188284518,20682,172,"Dec 7, 2016 8:21:21 AM",20682,100,0,500,500
,10.1.11.253,PA-HERSHEY-DTACTR,10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",231 days 7 hours 2 minutes,Undefined TCP,Undefined TCP (5647/tcp),691.4476987447699,20657,294,"Jun 21, 2017 10:07:31 AM",9438,45.6891,11219,56002,5647
,10.38.169.250,"WTRTRTPLT, Firewalls, PA Fortigate Firewalls, STONYGARDEN",10.38.131.250,"Firewalls, PA Fortigate Firewalls, WTRTRTPLT, MILTONWTP",103 days 3 hours 52 minutes,Undefined UDP,isakmp (500/udp),691.4476987447699,20657,170,"Oct 27, 2017 1:17:35 PM",10457,50.6221,10200,500,500
,10.1.65.20,"DHCP Servers, PA-HERSHEY-DTACTR",10.38.57.1,"LEXINGTON, OFFICE",77 days 10 hours 15 minutes,Undefined UDP,dhcps (67/udp),694.0504201680673,20648,58,"Nov 22, 2017 5:54:01 AM",20648,100,0,67,67
,10.1.163.21,"Internet DMZ, PA-HERSHEY-DTACTR",10.1.96.55,"Load Balanced Systems, PA-HERSHEY-DTACTR",427 days 9 hours 11 minutes,HTTPS,Undefined TCP (8443/tcp),691.0460251046026,20645,66,"Dec 7, 2016 6:58:11 AM",7611,36.8661,13034,52284,8443
,10.2.70.16,"DB Servers, NJ-HADDON-DTACTR",10.1.9.53,"PA-HERSHEY-DTACTR, Systems Management",52 days 15 hours 34 minutes,Undefined TCP,Undefined TCP (5647/tcp),690.979079497908,20643,315,"Dec 17, 2017 12:35:29 AM",8940,43.3077,11703,23268,5647
,10.1.74.46,"Firewalls, Security, PA-HERSHEY-DTACTR",10.38.183.250,"WTRTRTPLT, Firewalls, PA Fortigate Firewalls, DATA",427 days 11 hours 56 minutes,Undefined UDP,isakmp (500/udp),699.1864406779661,20626,171,"Dec 7, 2016 4:13:35 AM",10834,52.5259,9792,500,500
